w1,w2,w3,d1,d2,d3,scenario_number
0.0,20.0,43.0,7,147,308,402
0.0,20.0,44.0,7,147,315,403
0.0,20.0,45.0,7,147,322,404
0.0,21.0,27.0,7,154,196,405
0.0,21.0,28.0,7,154,203,406
0.0,21.0,29.0,7,154,210,407
0.0,21.0,30.0,7,154,217,408
0.0,21.0,31.0,7,154,224,409
0.0,21.0,32.0,7,154,231,410
0.0,21.0,33.0,7,154,238,411
0.0,21.0,34.0,7,154,245,412
0.0,21.0,35.0,7,154,252,413
0.0,21.0,36.0,7,154,259,414
0.0,21.0,37.0,7,154,266,415
0.0,21.0,38.0,7,154,273,416
0.0,21.0,39.0,7,154,280,417
0.0,21.0,40.0,7,154,287,418
0.0,21.0,41.0,7,154,294,419
0.0,21.0,42.0,7,154,301,420
0.0,21.0,43.0,7,154,308,421
0.0,21.0,44.0,7,154,315,422
0.0,21.0,45.0,7,154,322,423
0.0,22.0,28.0,7,161,203,424
0.0,22.0,29.0,7,161,210,425
0.0,22.0,30.0,7,161,217,426
0.0,22.0,31.0,7,161,224,427
0.0,22.0,32.0,7,161,231,428
0.0,22.0,33.0,7,161,238,429
0.0,22.0,34.0,7,161,245,430
0.0,22.0,35.0,7,161,252,431
0.0,22.0,36.0,7,161,259,432
0.0,22.0,37.0,7,161,266,433
0.0,22.0,38.0,7,161,273,434
0.0,22.0,39.0,7,161,280,435
0.0,22.0,40.0,7,161,287,436
0.0,22.0,41.0,7,161,294,437
0.0,22.0,42.0,7,161,301,438
0.0,22.0,43.0,7,161,308,439
0.0,22.0,44.0,7,161,315,440
0.0,22.0,45.0,7,161,322,441
0.0,23.0,29.0,7,168,210,442
0.0,23.0,30.0,7,168,217,443
0.0,23.0,31.0,7,168,224,444
0.0,23.0,32.0,7,168,231,445
0.0,23.0,33.0,7,168,238,446
0.0,23.0,34.0,7,168,245,447
0.0,23.0,35.0,7,168,252,448
0.0,23.0,36.0,7,168,259,449
0.0,23.0,37.0,7,168,266,450
0.0,23.0,38.0,7,168,273,451
0.0,23.0,39.0,7,168,280,452
0.0,23.0,40.0,7,168,287,453
0.0,23.0,41.0,7,168,294,454
0.0,23.0,42.0,7,168,301,455
0.0,23.0,43.0,7,168,308,456
0.0,23.0,44.0,7,168,315,457
0.0,23.0,45.0,7,168,322,458
0.0,24.0,30.0,7,175,217,459
0.0,24.0,31.0,7,175,224,460
0.0,24.0,32.0,7,175,231,461
0.0,24.0,33.0,7,175,238,462
0.0,24.0,34.0,7,175,245,463
0.0,24.0,35.0,7,175,252,464
0.0,24.0,36.0,7,175,259,465
0.0,24.0,37.0,7,175,266,466
0.0,24.0,38.0,7,175,273,467
0.0,24.0,39.0,7,175,280,468
0.0,24.0,40.0,7,175,287,469
0.0,24.0,41.0,7,175,294,470
0.0,24.0,42.0,7,175,301,471
0.0,24.0,43.0,7,175,308,472
0.0,24.0,44.0,7,175,315,473
0.0,24.0,45.0,7,175,322,474
0.0,25.0,31.0,7,182,224,475
0.0,25.0,32.0,7,182,231,476
0.0,25.0,33.0,7,182,238,477
0.0,25.0,34.0,7,182,245,478
0.0,25.0,35.0,7,182,252,479
0.0,25.0,36.0,7,182,259,480
0.0,25.0,37.0,7,182,266,481
0.0,25.0,38.0,7,182,273,482
0.0,25.0,39.0,7,182,280,483
0.0,25.0,40.0,7,182,287,484
0.0,25.0,41.0,7,182,294,485
0.0,25.0,42.0,7,182,301,486
0.0,25.0,43.0,7,182,308,487
0.0,25.0,44.0,7,182,315,488
0.0,25.0,45.0,7,182,322,489
0.0,26.0,32.0,7,189,231,490
0.0,26.0,33.0,7,189,238,491
0.0,26.0,34.0,7,189,245,492
0.0,26.0,35.0,7,189,252,493
0.0,26.0,36.0,7,189,259,494
0.0,26.0,37.0,7,189,266,495
0.0,26.0,38.0,7,189,273,496
0.0,26.0,39.0,7,189,280,497
0.0,26.0,40.0,7,189,287,498
0.0,26.0,41.0,7,189,294,499
0.0,26.0,42.0,7,189,301,500
0.0,26.0,43.0,7,189,308,501
0.0,26.0,44.0,7,189,315,502
0.0,26.0,45.0,7,189,322,503
0.0,27.0,33.0,7,196,238,504
0.0,27.0,34.0,7,196,245,505
0.0,27.0,35.0,7,196,252,506
0.0,27.0,36.0,7,196,259,507
0.0,27.0,37.0,7,196,266,508
0.0,27.0,38.0,7,196,273,509
0.0,27.0,39.0,7,196,280,510
0.0,27.0,40.0,7,196,287,511
0.0,27.0,41.0,7,196,294,512
0.0,27.0,42.0,7,196,301,513
0.0,27.0,43.0,7,196,308,514
0.0,27.0,44.0,7,196,315,515
0.0,27.0,45.0,7,196,322,516
0.0,28.0,34.0,7,203,245,517
0.0,28.0,35.0,7,203,252,518
0.0,28.0,36.0,7,203,259,519
0.0,28.0,37.0,7,203,266,520
0.0,28.0,38.0,7,203,273,521
0.0,28.0,39.0,7,203,280,522
0.0,28.0,40.0,7,203,287,523
0.0,28.0,41.0,7,203,294,524
0.0,28.0,42.0,7,203,301,525
0.0,28.0,43.0,7,203,308,526
0.0,28.0,44.0,7,203,315,527
0.0,28.0,45.0,7,203,322,528
0.0,29.0,35.0,7,210,252,529
0.0,29.0,36.0,7,210,259,530
0.0,29.0,37.0,7,210,266,531
0.0,29.0,38.0,7,210,273,532
0.0,29.0,39.0,7,210,280,533
0.0,29.0,40.0,7,210,287,534
0.0,29.0,41.0,7,210,294,535
0.0,29.0,42.0,7,210,301,536
0.0,29.0,43.0,7,210,308,537
0.0,29.0,44.0,7,210,315,538
0.0,29.0,45.0,7,210,322,539
0.0,30.0,36.0,7,217,259,540
0.0,30.0,37.0,7,217,266,541
0.0,30.0,38.0,7,217,273,542
0.0,30.0,39.0,7,217,280,543
0.0,30.0,40.0,7,217,287,544
0.0,30.0,41.0,7,217,294,545
0.0,30.0,42.0,7,217,301,546
0.0,30.0,43.0,7,217,308,547
0.0,30.0,44.0,7,217,315,548
0.0,30.0,45.0,7,217,322,549
0.0,31.0,37.0,7,224,266,550
0.0,31.0,38.0,7,224,273,551
0.0,31.0,39.0,7,224,280,552
0.0,31.0,40.0,7,224,287,553
0.0,31.0,41.0,7,224,294,554
0.0,31.0,42.0,7,224,301,555
0.0,31.0,43.0,7,224,308,556
0.0,31.0,44.0,7,224,315,557
0.0,31.0,45.0,7,224,322,558
0.0,32.0,38.0,7,231,273,559
0.0,32.0,39.0,7,231,280,560
0.0,32.0,40.0,7,231,287,561
0.0,32.0,41.0,7,231,294,562
0.0,32.0,42.0,7,231,301,563
