"","baseline_eir","scenario_number","archetype","drug_type","Scenario","cost.CHW","cost.RDT","cost.drug","cost.ACT","cost.smc","cost.facility","cost.severe","cost.bednet","cost.iver","cost.prim","cost.CHW.d","cost.RDT.d","cost.drug.d","cost.facility.d","cost.severe.d","cost.d","cost.smc.ref","cost.smc.low","cost.low","cost","cases"
"47",1,21,"Southern","DP","Southern_21_1",893.554389027521,10074.8264681936,240.71790323273,138.938016889019,0,5949.4561746987,86.5732723315075,13691.520443361,0,0,893.554389027521,10074.8264681936,240.71790323273,5949.4561746987,86.5732723315075,31075.5866677341,0,0,31075.5866677341,31075.5866677341,1405.3999988388
"48",10,42,"Central","None","Central_42_10",0,727.994199584043,0,324.314544334676,0,13737.0296225262,2651.40802726559,13691.520443361,0,0,0,727.994199584043,0,13737.0296225262,2651.40802726559,31132.2668370716,0,0,31132.2668370716,31132.2668370716,7367.39999394946
"49",1,8,"Southern","ASAQ","Southern_8_1",516.707096957408,2443.42377064162,328.080714021102,315.498534665105,0,13421.637709985,487.258678367731,13691.520443361,0,0,516.707096957408,2443.42377064162,328.080714021102,13421.637709985,487.258678367731,31204.126947999,0,0,31204.126947999,31204.126947999,3064.80000689091
"50",3,39,"Southern","DP","Southern_39_3",5344.1117882582,494.792744574545,1449.70591461425,220.373948922153,0,9345.49178843379,735.706698098709,13691.520443361,0,0,5344.1117882582,494.792744574545,1449.70591461425,9345.49178843379,735.706698098709,31281.7033262627,0,0,31281.7033262627,31281.7033262627,3146.40000519762
"51",1,11,"Southern","ASAQ","Southern_11_1",1023.66939295505,7381.47838453512,636.373647520985,191.917935859632,0,8259.07982030654,305.720322955306,13691.520443361,0,0,1023.66939295505,7381.47838453512,636.373647520985,8259.07982030654,305.720322955306,31489.7599474937,0,0,31489.7599474937,31489.7599474937,1826.19999827225
"52",1,23,"Southern","DP","Southern_23_1",889.508034847404,7457.8483245112,238.632054469972,207.994050315627,0,8880.08820573985,219.205398504617,13691.520443361,0,0,889.508034847404,7457.8483245112,238.632054469972,8880.08820573985,219.205398504617,31584.7965117497,0,0,31584.7965117497,31584.7965117497,2056.79999424938
"53",30,38,"Southern","DP","Southern_38_30",5230.50119312136,442.612647644682,1417.92990651446,197.091671494266,0,8359.3882635328,2320.76911982628,13691.520443361,0,0,5230.50119312136,442.612647644682,1417.92990651446,8359.3882635328,2320.76911982628,31659.8132454949,0,0,31659.8132454949,31659.8132454949,4360.99998757806
"54",1,22,"Southern","DP","Southern_22_1",990.168935239472,8874.19838851989,267.997517362559,180.631115203006,0,7766.69342195609,156.625250263662,13691.520443361,0,0,990.168935239472,8874.19838851989,267.997517362559,7766.69342195609,156.625250263662,31927.8350719057,0,0,31927.8350719057,31927.8350719057,1597.80000108587
"55",1,9,"Southern","ASAQ","Southern_9_1",1028.03788175386,10036.1332507438,658.151106708829,146.572752248397,0,6290.41119805882,225.335513035989,13691.520443361,0,0,1028.03788175386,10036.1332507438,658.151106708829,6290.41119805882,225.335513035989,32076.1621459107,0,0,32076.1621459107,32076.1621459107,1379.79999888169
"56",30,42,"Central","None","Central_42_30",0,760.547750097631,0,338.846067049035,0,14368.6041523397,2928.41471793339,13691.520443361,0,0,0,760.547750097631,0,14368.6041523397,2928.41471793339,32087.9331307808,0,0,32087.9331307808,32087.9331307808,6862.80000817814
